2026-09-18 18:34:23 | INFO     | voice.stt | STT transcription finished in 1.33s (chars=12).
2026-09-18 18:34:23 | INFO     | jarvis.main | Ignorando frase sin palabra clave en modo continuo: ¡Suscríbete!
2026-09-18 18:34:23 | INFO     | voice.audio_utils | Audio capture resolved: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:23 | INFO     | voice.audio_utils | STT capture started: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:24 | INFO     | voice.stt | timing phase=microphone_capture duration_seconds=1.156
2026-09-18 18:34:24 | INFO     | voice.stt | STT captured 1.05s audio in 1.16s (samples=16800, sample_rate=16000, rms=32).
2026-09-18 18:34:24 | INFO     | voice.stt | timing phase=transcription duration_seconds=0.032
2026-09-18 18:34:25 | INFO     | voice.stt | STT transcription finished in 1.41s (chars=12).
2026-09-18 18:34:25 | INFO     | jarvis.main | Ignorando frase sin palabra clave en modo continuo: ¡Suscríbete!
2026-09-18 18:34:25 | INFO     | voice.audio_utils | Audio capture resolved: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:25 | INFO     | voice.audio_utils | STT capture started: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:28 | INFO     | voice.stt | timing phase=microphone_capture duration_seconds=2.296
2026-09-18 18:34:28 | INFO     | voice.stt | STT captured 2.19s audio in 2.30s (samples=35040, sample_rate=16000, rms=22).
2026-09-18 18:34:28 | INFO     | voice.stt | timing phase=transcription duration_seconds=0.031
2026-09-18 18:34:29 | INFO     | voice.stt | STT transcription finished in 1.44s (chars=12).
2026-09-18 18:34:29 | INFO     | jarvis.main | Ignorando frase sin palabra clave en modo continuo: ¡Suscríbete!
2026-09-18 18:34:29 | INFO     | voice.audio_utils | Audio capture resolved: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:29 | INFO     | voice.audio_utils | STT capture started: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:31 | INFO     | voice.stt | timing phase=microphone_capture duration_seconds=2.172
2026-09-18 18:34:31 | INFO     | voice.stt | STT captured 2.07s audio in 2.17s (samples=33120, sample_rate=16000, rms=21).
2026-09-18 18:34:31 | INFO     | voice.stt | timing phase=transcription duration_seconds=0.047
2026-09-18 18:34:33 | INFO     | voice.stt | STT transcription finished in 1.38s (chars=12).
2026-09-18 18:34:33 | INFO     | jarvis.main | Ignorando frase sin palabra clave en modo continuo: ¡Suscríbete!
2026-09-18 18:34:33 | INFO     | voice.audio_utils | Audio capture resolved: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:33 | INFO     | voice.audio_utils | STT capture started: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:35 | INFO     | voice.stt | timing phase=microphone_capture duration_seconds=2.344
2026-09-18 18:34:35 | INFO     | voice.stt | STT captured 2.22s audio in 2.34s (samples=35520, sample_rate=16000, rms=21).
2026-09-18 18:34:35 | INFO     | voice.stt | timing phase=transcription duration_seconds=0.016
2026-09-18 18:34:36 | INFO     | voice.stt | STT transcription finished in 1.33s (chars=12).
2026-09-18 18:34:36 | INFO     | jarvis.main | Ignorando frase sin palabra clave en modo continuo: ¡Suscríbete!
2026-09-18 18:34:36 | INFO     | voice.audio_utils | Audio capture resolved: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:36 | INFO     | voice.audio_utils | STT capture started: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:37 | INFO     | voice.stt | timing phase=microphone_capture duration_seconds=1.015
2026-09-18 18:34:37 | INFO     | voice.stt | STT captured 0.96s audio in 1.03s (samples=15360, sample_rate=16000, rms=31).
2026-09-18 18:34:37 | INFO     | voice.stt | timing phase=transcription duration_seconds=0.016
2026-09-18 18:34:39 | INFO     | voice.stt | STT transcription finished in 1.31s (chars=12).
2026-09-18 18:34:39 | INFO     | jarvis.main | Ignorando frase sin palabra clave en modo continuo: ¡Suscríbete!
2026-09-18 18:34:39 | INFO     | voice.audio_utils | Audio capture resolved: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:39 | INFO     | voice.audio_utils | STT capture started: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:42 | INFO     | voice.stt | timing phase=microphone_capture duration_seconds=3.062
2026-09-18 18:34:42 | INFO     | voice.stt | STT captured 2.97s audio in 3.08s (samples=47520, sample_rate=16000, rms=27).
2026-09-18 18:34:42 | INFO     | voice.stt | timing phase=transcription duration_seconds=0.015
2026-09-18 18:34:43 | INFO     | voice.stt | STT transcription finished in 1.28s (chars=12).
2026-09-18 18:34:43 | INFO     | jarvis.main | Ignorando frase sin palabra clave en modo continuo: ¡Suscríbete!
2026-09-18 18:34:43 | INFO     | voice.audio_utils | Audio capture resolved: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:43 | INFO     | voice.audio_utils | STT capture started: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:45 | INFO     | voice.stt | timing phase=microphone_capture duration_seconds=1.531
2026-09-18 18:34:45 | INFO     | voice.stt | STT captured 1.41s audio in 1.53s (samples=22560, sample_rate=16000, rms=29).
2026-09-18 18:34:45 | INFO     | voice.stt | timing phase=transcription duration_seconds=0.031
2026-09-18 18:34:46 | INFO     | voice.stt | STT transcription finished in 1.33s (chars=12).
2026-09-18 18:34:46 | INFO     | jarvis.main | Ignorando frase sin palabra clave en modo continuo: ¡Suscríbete!
2026-09-18 18:34:46 | INFO     | voice.audio_utils | Audio capture resolved: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:46 | INFO     | voice.audio_utils | STT capture started: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:49 | INFO     | voice.stt | timing phase=microphone_capture duration_seconds=3.063
2026-09-18 18:34:49 | INFO     | voice.stt | STT captured 2.97s audio in 3.08s (samples=47520, sample_rate=16000, rms=20).
2026-09-18 18:34:49 | INFO     | voice.stt | timing phase=transcription duration_seconds=0.016
2026-09-18 18:34:50 | INFO     | voice.stt | STT transcription finished in 1.28s (chars=12).
2026-09-18 18:34:50 | INFO     | jarvis.main | Ignorando frase sin palabra clave en modo continuo: ¡Suscríbete!
2026-09-18 18:34:50 | INFO     | voice.audio_utils | Audio capture resolved: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:50 | INFO     | voice.audio_utils | STT capture started: backend=WDM-KS device='Varios micrófonos 2 ()' index=29 sample_rate=48000
2026-09-18 18:34:52 | INFO     | voice.stt | timing phase=microphone_capture duration_seconds=1.984
2026-09-18 18:34:52 | INFO     | voice.stt | STT captured 1.89s audio in 1.98s (samples=30240, sample_rate=16000, rms=23).
2026-09-18 18:34:52 | INFO     | voice.stt | timing phase=transcription duration_seconds=0.016
2026-09-18 18:34:54 | INFO     | voice.stt | STT transcription finished in 1.28s (chars=12).
2026-09-18 18:34:54 | INFO     | jarvis.main | Ignorando frase sin palabra clave en modo continuo: ¡Suscríbete!
